友家 · 洋桥西里2居室-东南卧,[丰台北京南站] 14号线北京南站,16 ㎡,17/24层,2室1厅,距14号线北京南站站739米,离地铁近|集体供暖|友家2.0 拿铁|友家2.0 拿铁
友家 · 北京新天地3居室-南卧,[朝阳常营] 八通线管庄,8.9 ㎡,7/28层,3室1厅,距八通线管庄站698米,离地铁近|集体供暖|友家3.0 木棉|友家3.0 木棉
友家 · 北京像素北区3居室-西南卧,[朝阳常营] 6号线草房,13 ㎡,6/17层,3室1厅,距6号线草房站332米,离地铁近|集体供暖|友家3.0 木棉|友家3.0 木棉
友家 · 北京人家3居室-南卧,[昌平龙泽] 13号线龙泽,16.6 ㎡,5/9层,3室1厅,距13号线龙泽站1530米,离地铁近|集体供暖|友家4.0 拿铁|友家4.0 拿铁
友家 · 北京北4居室-南卧,[昌平立水桥] 13号线立水桥,6.3 ㎡,16/20层,4室1厅,距13号线立水桥站529米,离地铁近|集体供暖|友家4.0 米苏|友家4.0 米苏
友家 · 北京像素北区3居室-东北卧,[朝阳常营] 6号线草房,8.6 ㎡,3/17层,3室1厅,距6号线草房站332米,离地铁近|集体供暖|友家4.0 布丁|友家4.0 布丁
友家 · 北京人家3居室-南卧,[昌平龙泽] 13号线龙泽,18.4 ㎡,4/5层,3室1厅,距13号线龙泽站1530米,离地铁近|独立阳台|集体供暖|友家4.0 木棉|友家4.0 木棉
友家 · 北京像素北区3居室-西北卧,[朝阳常营] 6号线草房,9.2 ㎡,5/13层,3室1厅,距6号线草房站332米,离地铁近|集体供暖|友家4.0 米苏|友家4.0 米苏
友家 · 北京像素北区3居室-东北卧,[朝阳常营] 6号线草房,9.1 ㎡,3/17层,3室1厅,距6号线草房站332米,离地铁近|集体供暖|友家4.0 米苏|友家4.0 米苏
友家 · 北京像素北区3居室-西南卧,[朝阳常营] 6号线草房,10.6 ㎡,3/14层,3室1厅,距6号线草房站332米,离地铁近|集体供暖|友家4.0 米苏|友家4.0 米苏
友家 · 北京人家4居室-南卧,[昌平龙泽] 13号线龙泽,15.9 ㎡,2/6层,4室1厅,距13号线龙泽站1530米,离地铁近|独立阳台|集体供暖|友家4.0 木棉|友家4.0 木棉
友家 · 北京风景5居室-南卧,[昌平昌平其它] 昌平线南邵,12.3 ㎡,4/8层,5室1厅,距昌平线南邵站589米,离地铁近|集体供暖|友家4.0 拿铁|友家4.0 拿铁
友家 · 政洋家园3居室-北卧,[丰台洋桥] 14号线北京南站,13.4 ㎡,7/18层,3室1厅,距14号线北京南站站1049米,离地铁近|集体供暖|友家3.0 木棉|友家3.0 木棉
友家 · 北京人家3居室-北卧,[昌平龙泽] 13号线龙泽,10.2 ㎡,5/6层,3室1厅,距13号线龙泽站1530米,离地铁近|集体供暖|友家4.0 布丁|友家4.0 布丁
友家 · 北京人家4居室-南卧,[昌平龙泽] 13号线龙泽,16 ㎡,5/6层,4室1厅,距13号线龙泽站1530米,离地铁近|独立阳台|集体供暖|友家4.0 木棉|友家4.0 木棉
友家 · 北京像素北区3居室-东南卧,[朝阳常营] 6号线草房,9.2 ㎡,8/13层,3室1厅,距6号线草房站332米,离地铁近|集体供暖|友家4.0 米苏|友家4.0 米苏
友家 · 北京像素南区3居室-南卧,[朝阳常营] 6号线草房,13.7 ㎡,15/16层,3室1厅,距6号线草房站275米,离地铁近|集体供暖|友家4.0 拿铁|友家4.0 拿铁
友家 · 北京像素南区3居室-南卧,[朝阳常营] 6号线草房,13.5 ㎡,15/16层,3室1厅,距6号线草房站275米,离地铁近|集体供暖|友家4.0 拿铁|友家4.0 拿铁
友家 · 北京像素北区3居室-西卧,[朝阳常营] 6号线草房,7 ㎡,9/13层,3室1厅,距6号线草房站332米,离地铁近|集体供暖|友家4.0 米苏|友家4.0 米苏
友家 · 北京像素北区3居室-西北卧,[朝阳常营] 6号线草房,7 ㎡,7/13层,3室1厅,距6号线草房站332米,离地铁近|集体供暖|友家4.0 米苏|友家4.0 米苏
友家 · 北京像素北区3居室-东南卧,[朝阳常营] 6号线草房,9.1 ㎡,4/13层,3室1厅,距6号线草房站332米,离地铁近|集体供暖|友家3.0 木棉|友家3.0 木棉
友家 · 北京像素北区3居室-东卧,[朝阳常营] 6号线草房,7.5 ㎡,9/17层,3室1厅,距6号线草房站332米,离地铁近|集体供暖|友家4.0 米苏|友家4.0 米苏
友家 · 北京像素北区3居室-东北卧,[朝阳常营] 6号线草房,10.41 ㎡,5/14层,3室1厅,距6号线草房站332米,离地铁近|集体供暖|友家4.0 米苏|友家4.0 米苏
友家 · 北京像素南区3居室-西南卧,[朝阳常营] 6号线草房,10.8 ㎡,5/16层,3室1厅,距6号线草房站275米,离地铁近|集体供暖|友家4.0 米苏|友家4.0 米苏
友家 · 北京新天地4居室-南卧,[朝阳常营] 八通线管庄,10.7 ㎡,13/27层,4室2厅,距八通线管庄站698米,离地铁近|集体供暖|友家2.0 木棉|友家2.0 木棉
友家 · 北京像素北区3居室-西南卧,[朝阳常营] 6号线草房,13.9 ㎡,3/14层,3室1厅,距6号线草房站332米,离地铁近|集体供暖|友家4.0 拿铁|友家4.0 拿铁
友家 · 北京像素北区3居室-西卧,[朝阳常营] 6号线草房,11 ㎡,9/13层,3室1厅,距6号线草房站332米,离地铁近|集体供暖|友家4.0 布丁|友家4.0 布丁
友家 · 北京人家3居室-南卧,[昌平龙泽] 13号线龙泽,13.3 ㎡,4/5层,3室1厅,距13号线龙泽站1530米,离地铁近|集体供暖|友家4.0 拿铁|友家4.0 拿铁
友家 · 北京人家3居室-北卧,[昌平龙泽] 13号线龙泽,9.8 ㎡,4/6层,3室1厅,距13号线龙泽站1530米,离地铁近|集体供暖|友家4.0 米苏|友家4.0 米苏
友家 · 北京青年城4居室-南卧,[朝阳北苑] 13号线北苑,22.2 ㎡,6/6层,4室1厅,距13号线北苑站1455米,离地铁近|独立阳台|集体供暖|友家4.0 木棉|友家4.0 木棉
友家 · 北京像素北区3居室-东南卧,[朝阳常营] 6号线草房,12.4 ㎡,8/13层,3室1厅,距6号线草房站332米,离地铁近|集体供暖|友家4.0 布丁|友家4.0 布丁
友家 · 北京风景4居室-南卧,[昌平昌平其它] 昌平线南邵,15.1 ㎡,2/4层,4室1厅,距昌平线南邵站589米,离地铁近|独卫|集体供暖|友家4.0 拿铁|友家4.0 拿铁
友家 · 北京像素北区3居室-东南卧,[朝阳常营] 6号线草房,12.2 ㎡,3/13层,3室1厅,距6号线草房站332米,离地铁近|集体供暖|友家4.0 木棉|友家4.0 木棉
友家 · 北京像素南区3居室-东北卧,[朝阳常营] 6号线草房,10.3 ㎡,13/16层,3室1厅,距6号线草房站275米,离地铁近|集体供暖|友家4.0 米苏|友家4.0 米苏
友家 · 北京像素北区3居室-西北卧,[朝阳常营] 6号线草房,9.6 ㎡,5/13层,3室1厅,距6号线草房站332米,离地铁近|集体供暖|友家4.0 布丁|友家4.0 布丁
友家 · 北京像素北区3居室-东卧,[朝阳常营] 6号线草房,12 ㎡,9/17层,3室1厅,距6号线草房站332米,离地铁近|集体供暖|友家4.0 拿铁|友家4.0 拿铁
友家 · 北京青年城4居室-南卧,[朝阳北苑] 13号线北苑,23.4 ㎡,5/6层,4室1厅,距13号线北苑站1455米,离地铁近|独立阳台|集体供暖|友家4.0 木棉|友家4.0 木棉
友家 · 政洋家园3居室-北卧,[丰台洋桥] 14号线北京南站,18.47 ㎡,11/18层,3室1厅,距14号线北京南站站1049米,离地铁近|集体供暖|友家4.0 布丁|友家4.0 布丁
友家 · 北京像素北区3居室-东北卧,[朝阳常营] 6号线草房,13.8 ㎡,5/14层,3室1厅,距6号线草房站332米,离地铁近|集体供暖|友家4.0 拿铁|友家4.0 拿铁
友家 · 北京像素北区3居室-东北卧,[朝阳常营] 6号线草房,11.1 ㎡,7/14层,3室1厅,距6号线草房站332米,离地铁近|集体供暖|友家4.0 米苏|友家4.0 米苏
友家 · 北京像素北区3居室-西北卧,[朝阳常营] 6号线草房,9.5 ㎡,2/13层,3室1厅,距6号线草房站332米,离地铁近|集体供暖|友家4.0 木棉|友家4.0 木棉
友家 · 北京像素南区3居室-西南卧,[朝阳常营] 6号线草房,15.9 ㎡,5/16层,3室1厅,距6号线草房站275米,离地铁近|集体供暖|友家4.0 拿铁|友家4.0 拿铁
友家 · 北京人家3居室-南卧,[昌平龙泽] 13号线龙泽,11.6 ㎡,3/6层,3室1厅,距13号线龙泽站1530米,离地铁近|集体供暖|友家4.0 拿铁|友家4.0 拿铁
友家 · 北京青年城4居室-南卧,[朝阳北苑] 13号线北苑,18.9 ㎡,5/6层,4室1厅,距13号线北苑站1455米,离地铁近|集体供暖|友家4.0 米苏|友家4.0 米苏
友家 · 北京像素北区3居室-西北卧,[朝阳常营] 6号线草房,10.5 ㎡,7/13层,3室1厅,距6号线草房站332米,离地铁近|集体供暖|友家4.0 布丁|友家4.0 布丁
友家 · 北京北3居室-西卧,[昌平立水桥] 5号线立水桥,15.3 ㎡,19/20层,3室1厅,距5号线立水桥站529米,离地铁近|集体供暖|友家2.0 布丁|友家2.0 布丁
友家 · 北京金科天籁城3居室-南卧,[大兴天宫院] 4号线生物医药基地,10.16 ㎡,6/29层,3室1厅,距4号线生物医药基地站398米,离地铁近|集体供暖|友家4.0 木棉|友家4.0 木棉
友家 · 北京青年城4居室-南卧,[朝阳北苑] 13号线北苑,17.9 ㎡,6/6层,4室1厅,距13号线北苑站1455米,离地铁近|集体供暖|友家4.0 米苏|友家4.0 米苏
友家 · 北京像素南区3居室-东北卧,[朝阳常营] 6号线草房,9.6 ㎡,5/16层,3室1厅,距6号线草房站275米,离地铁近|集体供暖|友家4.0 米苏|友家4.0 米苏
友家 · 北京新天地4居室-南卧,[朝阳常营] 八通线管庄,10.7 ㎡,3/27层,4室1厅,距八通线管庄站698米,离地铁近|集体供暖|友家4.0 米苏|友家4.0 米苏
友家 · 北京北4居室-南卧,[昌平立水桥] 13号线立水桥,13.2 ㎡,5/20层,4室1厅,距13号线立水桥站529米,离地铁近|独卫|集体供暖|友家4.0 木棉|友家4.0 木棉
友家 · 北京像素北区3居室-东北卧,[朝阳常营] 6号线草房,15.3 ㎡,7/14层,3室1厅,距6号线草房站332米,离地铁近|集体供暖|友家4.0 拿铁|友家4.0 拿铁
友家 · 北京人家3居室-南卧,[昌平龙泽] 13号线龙泽,13.5 ㎡,6/6层,3室1厅,距13号线龙泽站1530米,离地铁近|集体供暖|友家4.0 拿铁|友家4.0 拿铁
友家 · 北京北3居室-南卧,[昌平立水桥] 13号线立水桥,17.6 ㎡,5/20层,3室1厅,距13号线立水桥站529米,离地铁近|集体供暖|友家4.0 木棉|友家4.0 木棉
友家 · 北京像素南区3居室-东北卧,[朝阳常营] 6号线草房,13.2 ㎡,13/16层,3室1厅,距6号线草房站275米,离地铁近|集体供暖|友家4.0 拿铁|友家4.0 拿铁
友家 · 北京风景5居室-南卧,[昌平昌平其它] 昌平线南邵,10.8 ㎡,4/8层,5室1厅,距昌平线南邵站589米,离地铁近|集体供暖|友家4.0 米苏|友家4.0 米苏
友家 · 北京北4居室-南卧,[昌平立水桥] 13号线立水桥,14.1 ㎡,8/20层,4室1厅,距13号线立水桥站529米,离地铁近|集体供暖|友家4.0 布丁|友家4.0 布丁
友家 · 北京北3居室-南卧,[昌平立水桥] 13号线立水桥,14.5 ㎡,5/20层,3室1厅,距13号线立水桥站529米,离地铁近|集体供暖|友家4.0 拿铁|友家4.0 拿铁
友家 · 北京人家4居室-北卧,[昌平龙泽] 13号线龙泽,11.8 ㎡,5/6层,4室1厅,距13号线龙泽站1530米,离地铁近|集体供暖|友家4.0 布丁|友家4.0 布丁
友家 · 北京青年城3居室-南卧,[朝阳北苑] 13号线北苑,21.3 ㎡,5/6层,3室1厅,距13号线北苑站1455米,离地铁近|独立阳台|集体供暖|友家4.0 木棉|友家4.0 木棉
友家 · 北京北3居室-北卧,[昌平立水桥] 13号线立水桥,8.1 ㎡,5/20层,3室1厅,距13号线立水桥站529米,离地铁近|集体供暖|友家4.0 米苏|友家4.0 米苏
友家 · 北京像素南区3居室-东北卧,[朝阳常营] 6号线草房,9.1 ㎡,10/16层,3室1厅,距6号线草房站275米,离地铁近|集体供暖|友家4.0 布丁|友家4.0 布丁
友家 · 北京北3居室-北卧,[昌平立水桥] 13号线立水桥,8.1 ㎡,9/20层,3室1厅,距13号线立水桥站529米,离地铁近|集体供暖|友家4.0 米苏|友家4.0 米苏
友家 · 北京人家4居室-北卧,[昌平龙泽] 13号线龙泽,10 ㎡,5/6层,4室1厅,距13号线龙泽站1530米,离地铁近|集体供暖|友家4.0 米苏|友家4.0 米苏
友家 · 北京北4居室-南卧,[昌平立水桥] 13号线立水桥,10 ㎡,2/20层,4室1厅,距13号线立水桥站529米,离地铁近|集体供暖|友家4.0 布丁|友家4.0 布丁
友家 · 北京北3居室-西卧,[昌平立水桥] 13号线立水桥,7 ㎡,6/20层,3室1厅,距13号线立水桥站529米,离地铁近|集体供暖|友家4.0 米苏|友家4.0 米苏
友家 · 北京北4居室-北卧,[昌平立水桥] 13号线立水桥,9 ㎡,2/20层,4室1厅,距13号线立水桥站529米,离地铁近|集体供暖|友家4.0 布丁|友家4.0 布丁
友家 · 北京北3居室-南卧,[昌平立水桥] 13号线立水桥,17.6 ㎡,9/20层,3室1厅,距13号线立水桥站529米,离地铁近|集体供暖|友家4.0 木棉|友家4.0 木棉
友家 · 北京北3居室-南卧,[昌平立水桥] 13号线立水桥,14.5 ㎡,3/20层,3室1厅,距13号线立水桥站529米,离地铁近|集体供暖|友家4.0 拿铁|友家4.0 拿铁
友家 · 北京人家4居室-北卧,[昌平龙泽] 13号线龙泽,9.3 ㎡,2/6层,4室1厅,距13号线龙泽站1530米,离地铁近|集体供暖|友家4.0 米苏|友家4.0 米苏
友家 · 北京北3居室-北卧,[昌平立水桥] 13号线立水桥,9.9 ㎡,18/20层,3室1厅,距13号线立水桥站529米,离地铁近|集体供暖|友家4.0 布丁|友家4.0 布丁
友家 · 北京北3居室-南卧,[昌平立水桥] 13号线立水桥,14.5 ㎡,9/20层,3室1厅,距13号线立水桥站529米,离地铁近|集体供暖|友家4.0 拿铁|友家4.0 拿铁
友家 · 北京青年城4居室-北卧,[朝阳北苑] 13号线北苑,10.5 ㎡,4/6层,4室1厅,距13号线北苑站1455米,离地铁近|集体供暖|友家4.0 布丁|友家4.0 布丁
友家 · 北京北3居室-北卧,[昌平立水桥] 13号线立水桥,8.1 ㎡,7/20层,3室1厅,距13号线立水桥站529米,离地铁近|集体供暖|友家4.0 米苏|友家4.0 米苏
友家 · 北京像素南区3居室-南卧,[朝阳常营] 6号线草房,14.3 ㎡,15/16层,3室1厅,距6号线草房站275米,离地铁近|集体供暖|友家4.0 木棉|友家4.0 木棉
友家 · 北京像素南区3居室-南卧,[朝阳常营] 6号线草房,14.3 ㎡,15/16层,3室1厅,距6号线草房站275米,离地铁近|集体供暖|友家4.0 木棉|友家4.0 木棉
友家 · 北京人家3居室-北卧,[昌平龙泽] 13号线龙泽,9.8 ㎡,4/5层,3室1厅,距13号线龙泽站1530米,离地铁近|集体供暖|友家4.0 米苏|友家4.0 米苏
友家 · 北京新天地3居室-南卧,[朝阳常营] 八通线管庄,10.3 ㎡,12/28层,3室1厅,距八通线管庄站698米,离地铁近|集体供暖|友家4.0 米苏|友家4.0 米苏
友家 · 北京北3居室-南卧,[昌平立水桥] 13号线立水桥,10.7 ㎡,18/20层,3室1厅,距13号线立水桥站529米,离地铁近|集体供暖|友家4.0 拿铁|友家4.0 拿铁
友家 · 北京像素北区3居室-东北卧,[朝阳常营] 6号线草房,8.8 ㎡,7/17层,3室1厅,距6号线草房站332米,离地铁近|集体供暖|友家4.0 布丁|友家4.0 布丁
友家 · 北京像素南区3居室-南卧,[朝阳常营] 6号线草房,15.9 ㎡,11/16层,3室1厅,距6号线草房站275米,离地铁近|集体供暖|友家4.0 木棉|友家4.0 木棉
友家 · 北京新天地4居室-南卧,[朝阳常营] 八通线管庄,17.2 ㎡,4/28层,4室1厅,距八通线管庄站698米,离地铁近|独立阳台|集体供暖|友家4.0 木棉|友家4.0 木棉
友家 · 北京人家4居室-南卧,[昌平龙泽] 13号线龙泽,15.3 ㎡,5/6层,4室1厅,距13号线龙泽站1530米,离地铁近|独卫|集体供暖|友家4.0 拿铁|友家4.0 拿铁
友家 · 北京人家4居室-南卧,[昌平龙泽] 13号线龙泽,15.8 ㎡,2/6层,4室1厅,距13号线龙泽站1530米,离地铁近|独卫|集体供暖|友家4.0 拿铁|友家4.0 拿铁
友家 · 北京人家3居室-南卧,[昌平龙泽] 13号线龙泽,18.1 ㎡,6/6层,3室1厅,距13号线龙泽站1530米,离地铁近|集体供暖|友家4.0 木棉|友家4.0 木棉
友家 · 北京人家3居室-北卧,[昌平龙泽] 13号线龙泽,10 ㎡,3/6层,3室1厅,距13号线龙泽站1530米,离地铁近|集体供暖|友家4.0 米苏|友家4.0 米苏
友家 · 北京新天地3居室-南卧,[朝阳常营] 八通线管庄,11 ㎡,22/28层,3室1厅,距八通线管庄站698米,离地铁近|集体供暖|友家4.0 米苏|友家4.0 米苏
友家 · 北京北4居室-北卧,[昌平立水桥] 13号线立水桥,9 ㎡,8/20层,4室1厅,距13号线立水桥站529米,离地铁近|集体供暖|友家4.0 米苏|友家4.0 米苏
友家 · 北京北3居室-南卧,[昌平立水桥] 13号线立水桥,10.7 ㎡,7/20层,3室1厅,距13号线立水桥站529米,离地铁近|集体供暖|友家4.0 拿铁|友家4.0 拿铁
友家 · 北京北3居室-北卧,[昌平立水桥] 13号线立水桥,9.6 ㎡,7/20层,3室1厅,距13号线立水桥站529米,离地铁近|集体供暖|友家4.0 米苏|友家4.0 米苏
友家 · 北京像素北区3居室-西北卧,[朝阳常营] 6号线草房,9 ㎡,7/13层,3室1厅,距6号线草房站332米,离地铁近|集体供暖|友家4.0 米苏|友家4.0 米苏
友家 · 北京新天地3居室-南卧,[朝阳常营] 八通线管庄,10 ㎡,10/28层,3室1厅,距八通线管庄站698米,离地铁近|集体供暖|友家4.0 米苏|友家4.0 米苏
友家 · 玉林东里二区3居室-南卧,[丰台右安门外] 4号线北京南站,8.1 ㎡,18/18层,3室1厅,距4号线北京南站站1356米,离地铁近|集体供暖|友家4.0 米苏|友家4.0 米苏
友家 · 北京像素北区3居室-东南卧,[朝阳常营] 6号线草房,11.4 ㎡,4/13层,3室1厅,距6号线草房站332米,离地铁近|集体供暖|友家4.0 木棉|友家4.0 木棉
友家 · 北京像素南区3居室-东北卧,[朝阳常营] 6号线草房,10.4 ㎡,10/16层,3室1厅,距6号线草房站275米,离地铁近|集体供暖|友家4.0 米苏|友家4.0 米苏
友家 · 北京像素南区3居室-东北卧,[朝阳常营] 6号线草房,12.97 ㎡,5/16层,3室1厅,距6号线草房站275米,离地铁近|集体供暖|友家4.0 木棉|友家4.0 木棉
友家 · 北京人家4居室-北卧,[昌平龙泽] 13号线龙泽,10.5 ㎡,1/6层,4室1厅,距13号线龙泽站1530米,离地铁近|集体供暖|友家4.0 布丁|友家4.0 布丁
友家 · 北京像素北区3居室-西南卧,[朝阳常营] 6号线草房,17.1 ㎡,5/14层,3室1厅,距6号线草房站332米,离地铁近|集体供暖|友家4.0 木棉|友家4.0 木棉
